"root","k","band","br","F","st","lat","E","D","P"
"kvartal","区","basic","0","19","4","7","1.75","4","-3.121"
"kverk","橡","basic","0","8","15","5","0.333","15","-0.797"
"lek","舔","basic","0","7","14","3","0.214","14","-0.744"
"lift","梯","basic","0","5","11","4","0.364","11","-0.801"
"list","表","basic","0","22","8","4","0.5","8","-2.485"
"lup","狼","basic","0","9","10","3","0.3","10","-1.393"
"maĉ","嚼","basic","0","12","20","3","0.15","20","-0.61"
"mam","乳","basic","0","24","8","3","0.375","8","-2.531"
"mandat","委","basic","0","7","8","6","0.75","8","-1.504"
"marĉ","沼","basic","0","17","8","4","0.5","8","-2.24"
"mast","柱","basic","0","21","9","4","0.444","9","-2.324"
"medikament","药","basic","0","11","9","10","1.111","9","-1.918"
"medit","思","basic","0","5","9","5","0.556","9","-1.059"
"mekanik","械","basic","0","18","11","7","0.636","11","-2.035"
"mekanism","械","basic","0","0","11","8","0.727","11","0.882"
"migr","迁","basic","0","35","6","4","0.667","6","-3.184"
"miliard","十亿","num","1","2","5","7","1.4","5","-1.019"
"min","矿","basic","0","43","8","3","0.375","8","-3.097"
"mister","谜","basic","0","4","11","6","0.545","11","-0.673"
"model","模","basic","0","14","14","5","0.357","14","-1.415"
"moder","适","basic","0","14","9","5","0.556","9","-1.975"
"moskit","蚊","basic","0","5","10","6","0.6","10","-0.972"
"mus","鼠","basic","0","15","13","3","0.231","13","-1.542"
"muskol","筋","basic","0","16","12","6","0.5","12","-1.783"
"nadl","针","basic","0","8","7","4","0.571","7","-1.669"
"naiv","朴","basic","0","7","6","4","0.667","6","-1.68"
"naŭz","呕","basic","0","4","7","4","0.571","7","-1.081"
"nerv","神经","basic","0","22","17","4","0.235","17","-1.506"
"nivel","平","basic","0","36","5","5","1","5","-3.411"
"nobl","贵","basic","0","13","9","4","0.444","9","-1.872"
"nod","结","basic","0","18","9","3","0.333","9","-2.144"
"observ","观","basic","0","17","6","6","1","6","-2.590"
"ombrel","伞","basic","0","5","6","6","1","6","-1.492"
"osced","欠","basic","0","3","4","5","1.25","4","-1.361"
"palac","宫","basic","0","7","9","5","0.556","9","-1.346"
"parfum","香","basic","0","6","9","6","0.667","9","-1.246"
"pasi","情","basic","0","7","11","4","0.364","11","-1.089"
"paŝt","牧","basic","0","14","8","4","0.5","8","-2.058"
"pat","锅","basic","0","21","12","3","0.25","12","-1.966"
"patron","保","basic","0","6","9","6","0.667","9","-1.246"
"pelt","皮","basic","0","9","5","4","0.8","5","-2.043"
"penik","笔","basic","0","9","10","5","0.5","10","-1.453"
"pent","悔","basic","0","12","10","4","0.4","10","-1.685"
"perfid","叛","basic","0","10","9","6","0.667","9","-1.698"
"petrol","油","basic","0","23","8","6","0.75","8","-2.603"
"pil","电","basic","0","7","5","3","0.6","5","-1.759"
"pinĉ","掐","basic","0","15","11","4","0.364","11","-1.782"
"pir","梨","basic","0","22","11","3","0.273","11","-2.117"
"plekt","编","basic","0","18","12","5","0.417","12","-1.87"
"plumb","铅","basic","0","21","10","5","0.5","10","-2.241"
"poezi","诗","basic","0","8","8","5","0.625","8","-1.585"
"posten","岗","basic","0","11","7","6","0.857","7","-2.042"
"pozici","位","basic","0","6","7","6","0.857","7","-1.503"
"pretekst","借口","basic","0","3","13","8","0.615","13","-0.271"
"pretend","称","basic","0","8","10","7","0.7","10","-1.407"
"probabl","概","basic","0","8","13","7","0.538","13","-1.059"
"proced","办","basic","0","5","4","6","1.5","4","-1.842"
"proces","程","basic","0","8","12","6","0.5","12","-1.147"
"prokrast","延","basic","0","14","6","8","1.333","6","-2.508"
"proz","散文","basic","0","5","16","4","0.25","16","-0.267"
"pruv","证","basic","0","9","7","4","0.571","7","-1.774"
"pulm","肺","basic","0","15","8","4","0.5","8","-2.123"
"pulv","火药","basic","0","6","13","4","0.308","13","-0.738"
"pulvor","粉","basic","0","23","10","6","0.6","10","-2.358"
"pump","泵","basic","0","19","9","4","0.444","9","-2.229"
"pup","偶","basic","0","11","11","3","0.273","11","-1.467"
"putr","腐","basic","0","14","14","4","0.286","14","-1.394"
"ramp","爬","basic","0","11","8","4","0.5","8","-1.835"
"rang","级","basic","0","21","6","4","0.667","6","-2.691"
"rat","鼠","basic","0","6","13","3","0.231","13","-0.715"
"rav","醉","basic","0","9","15","3","0.2","15","-0.863"
"dosier","档","basic","0","21","10","6","0.6","10","-2.271"
"drink","饮","basic","0","16","7","5","0.714","7","-2.347"
"ekologi","态","basic","0","0","8","7","0.875","8","0.538"
"ekonomik","经济","basic","0","5","17","8","0.471","17","-0.233"
"ekskluziv","排","basic","0","11","11","9","0.818","11","-1.63"
"ekspres","速","basic","0","11","10","7","0.7","10","-1.695"
"ekstr","特","basic","0","6","10","5","0.5","10","-1.096"
"ekzempler","册","basic","0","5","5","9","1.8","5","-1.832"
"elimin","除","basic","0","5","9","6","0.667","9","-1.092"
"elokvent","辩","basic","0","7","16","8","0.5","16","-0.629"
"emfaz","强","basic","0","3","12","5","0.417","12","-0.311"
"enciklopedi","典","basic","0","4","8","11","1.375","8","-1.222"
"enket","查","basic","0","10","9","5","0.556","9","-1.665"
"entuziasm","热","basic","0","9","10","9","0.9","10","-1.573"
"epizod","段","basic","0","3","9","6","0.667","9","-0.686"
"erotik","色","basic","0","3","6","6","1","6","-1.086"
"ese","论","basic","0","3","6","3","0.5","6","-0.936"
"etik","伦","basic","0","4","6","4","0.667","6","-1.21"
"etn","族","basic","0","15","11","3","0.273","11","-1.754"
"eventual","偶","basic","0","7","11","8","0.727","11","-1.198"
"faktor","因","basic","0","8","6","6","1","6","-1.897"
"faktur","账","basic","0","3","8","6","0.75","8","-0.811"
"fantom","幽","basic","0","7","9","6","0.667","9","-1.38"
"fatal","命","basic","0","7","8","5","0.625","8","-1.467"
"fekund","肥","basic","0","11","8","6","0.75","8","-1.91"
"feminism","女","basic","0","0","3","8","2.667","3","-0.5"
"femur","股","basic","0","8","8","5","0.625","8","-1.585"
"festival","庆","basic","0","4","6","8","1.333","6","-1.409"
"fiask","败","basic","0","2","8","5","0.625","8","-0.486"
"filatel","邮","basic","0","2","7","7","1","7","-0.699"
"fili","支","basic","0","3","4","4","1","4","-1.286"
"filozofi","哲","basic","0","4","10","8","0.8","10","-0.849"
"filtr","滤","basic","0","15","13","5","0.385","13","-1.588"
"firma","商","basic","0","4","11","5","0.455","11","-0.646"
"fon","底","basic","0","79","8","3","0.375","8","-3.695"
"fonetik","音","basic","0","4","9","7","0.778","9","-0.943"
"formal","形","basic","0","12","7","6","0.857","7","-2.122"
"format","版","basic","0","12","8","6","0.75","8","-1.99"
"fortun","运","basic","0","4","7","6","0.857","7","-1.167"
"forum","坛","basic","0","2","7","5","0.714","7","-0.613"
"frakci","分","basic","0","8","4","6","1.5","4","-2.247"
"futbal","球","basic","0","6","11","6","0.545","11","-1.009"
"gamb","腿","basic","0","4","13","4","0.308","13","-0.402"
"gastronomi","烹","basic","0","0","11","10","0.909","11","0.827"
"giĉet","窗","basic","0","1","12","5","0.417","12","0.382"
"gigant","巨","basic","0","4","4","6","1.5","4","-1.659"
"gimnastik","操","basic","0","8","16","9","0.562","16","-0.766"
"gimnazi","校","basic","0","4","10","7","0.7","10","-0.819"
"ĝir","转","basic","0","20","8","3","0.375","8","-2.357"
"grimac","皱","basic","0","3","10","6","0.6","10","-0.566"
"grotesk","怪","basic","0","6","8","7","0.875","8","-1.408"
"guberni","省","basic","0","9","9","7","0.778","9","-1.636"
"hobi","好","basic","0","2","6","4","0.667","6","-0.699"
"horizontal","横","basic","0","10","15","10","0.667","15","-1.098"
"humur","谐","basic","0","7","11","5","0.455","11","-1.116"
"ideologi","观","basic","0","0","6","8","1.333","6","0.2"
"idiot","愚","basic","0","6","13","5","0.385","13","-0.761"
"iluzi","幻","basic","0","11","4","5","1.25","4","-2.46"
"impon","威","basic","0","6","9","5","0.556","9","-1.213"
"inaŭgur","开","basic","0","5","4","7","1.75","4","-1.917"
"indeks","索","basic","0","4","10","6","0.6","10","-0.789"
"indic","征","basic","0","18","8","5","0.625","8","-2.332"
"institut","院","basic","0","4","9","8","0.889","9","-0.976"
"integr","全","basic","0","19","6","6","1","6","-2.696"
"intens","烈","basic","0","28","10","6","0.6","10","-2.547"
"interez","利","basic","0","4","7","7","1","7","-1.209"
"intervju","访","basic","0","6","6","8","1.333","6","-1.746"
"invers","逆","basic","0","14","9","6","0.667","9","-2.008"
"irit","恼","basic","0","3","9","4","0.444","9","-0.619"
"jakt","艇","basic","0","2","12","4","0.333","12","0.001"
"jet","喷","basic","0","3","12","3","0.25","12","-0.261"
"kalk","灰","basic","0","21","6","4","0.667","6","-2.691"
"kanari","雀","basic","0","4","11","6","0.545","11","-0.673"
"kancer","癌","basic","0","19","17","6","0.353","17","-1.402"
"karakteriz","特","basic","0","0","10","10","1","10","0.7"
"karavan","队","basic","0","6","4","7","1.75","4","-2.071"
"karbon","碳","basic","0","33","14","6","0.429","14","-2.255"
"karcer","牢","basic","0","8","7","6","0.857","7","-1.754"
"karier","涯","basic","0","7","11","6","0.545","11","-1.143"
"karikatur","讽","basic","0","4","6","9","1.5","6","-1.459"
"kased","盒","basic","0","7","11","5","0.455","11","-1.116"
"katastrof","灾","basic","0","6","7","9","1.286","7","-1.632"
"kaŭr","蹲","basic","0","3","19","4","0.211","19","0.45"
"klaĉ","谣","basic","0","9","12","4","0.333","12","-1.202"
"klak","响","basic","0","18","9","4","0.444","9","-2.178"
"klasifik","类","basic","0","6","9","8","0.889","9","-1.313"
"klav","键","basic","0","17","13","4","0.308","13","-1.683"
"klimatiz","调","basic","0","0","10","8","0.8","10","0.76"
"kod","码","basic","0","27","8","3","0.375","8","-2.645"
"koks","股","basic","0","8","8","4","0.5","8","-1.547"
"kolbas","肠","basic","0","11","7","6","0.857","7","-2.042"
"koloni","殖","basic","0","18","12","6","0.5","12","-1.894"
"koment","评","basic","0","5","7","6","0.857","7","-1.349"
"komentari","注","basic","0","4","8","9","1.125","8","-1.147"
"kompil","编","basic","0","10","12","6","0.5","12","-1.348"
"kompleks","复","basic","0","12","9","8","0.889","9","-1.932"
"kompliment","赞","basic","0","4","16","10","0.625","16","-0.197"
"konciz","简","basic","0","6","13","6","0.462","13","-0.785"
"kondolenc","哀","basic","0","4","9","9","1","9","-1.009"
"konflikt","冲","basic","0","12","6","8","1.333","6","-2.365"
"konform","合","basic","0","21","6","7","1.167","6","-2.841"
"konk","贝","basic","0","16","4","4","1","4","-2.733"
"konkret","具","basic","0","6","8","7","0.875","8","-1.408"
"konsili","议","basic","0","10","5","7","1.4","5","-2.318"
"konsonant","辅","basic","0","4","11","9","0.818","11","-0.755"
"konsult","询","basic","0","14","8","7","0.875","8","-2.171"
"kont","账","basic","0","25","8","4","0.5","8","-2.608"
"kontinent","陆","basic","0","11","7","9","1.286","7","-2.171"
"kontrast","对","basic","0","8","5","8","1.6","5","-2.177"
"kontribu","贡","basic","0","5","7","8","1.143","7","-1.435"
"konvenci","约","basic","0","8","6","8","1.333","6","-1.997"
"kooperativ","协","basic","0","6","6","10","1.667","6","-1.846"
"krab","蟹","basic","0","3","19","4","0.211","19","0.45"
"kramp","夹","basic","0","11","6","5","0.833","6","-2.135"
"ŝveb","翔","basic","0","10","12","4","0.333","12","-1.298"
"tabu","禁","basic","0","6","13","4","0.308","13","-0.738"
"tajd","潮","basic","0","13","15","4","0.267","15","-1.219"
"tajfun","风","basic","0","2","4","6","1.5","4","-1.149"
"taktik","术","basic","0","3","5","6","1.2","5","-1.246"
"talent","才","basic","0","5","3","6","2","3","-2.092"
"tambur","鼓","basic","0","12","13","6","0.462","13","-1.404"
"tavol","层","basic","0","22","7","5","0.714","7","-2.65"
"team","队","basic","0","10","4","4","1","4","-2.298"
"teknologi","技","basic","0","7","7","9","1.286","7","-1.765"
"teleskop","镜","basic","0","0","16","8","0.5","16","1.45"
"templ","庙","basic","0","9","8","5","0.625","8","-1.69"
"tenis","网","basic","0","8","6","5","0.833","6","-1.847"
"term","热","basic","0","61","9","4","0.444","9","-3.36"
"termin","词","basic","0","7","7","6","0.857","7","-1.637"
"testament","嘱","basic","0","7","15","9","0.6","15","-0.759"
"tez","题","basic","0","6","15","3","0.2","15","-0.506"
"tost","祝","basic","0","3","9","4","0.444","9","-0.619"
"total","总","basic","0","7","9","5","0.556","9","-1.346"
"tropik","热带","basic","0","22","19","6","0.316","19","-1.33"
"tulip","郁","basic","0","2","8","5","0.625","8","-0.486"
"uni","联","basic","0","5","12","3","0.25","12","-0.667"
"univers","宇","basic","0","3","6","7","1.167","6","-1.136"
"uragan","暴风","basic","0","3","19","6","0.316","19","0.419"
"urin","尿","basic","0","18","7","4","0.571","7","-2.416"
"uzin","厂","basic","0","2","2","4","2","2","-1.499"
"vak","空","basic","0","12","8","3","0.375","8","-1.877"
"valut","币","basic","0","9","4","5","1.25","4","-2.278"
"varb","募","basic","0","7","12","4","0.333","12","-0.979"
"veget","茂","basic","0","18","8","5","0.625","8","-2.332"
"versi","版","basic","0","7","8","5","0.625","8","-1.467"
"vertikal","竖","basic","0","8","9","8","0.889","9","-1.564"
"veteran","老","basic","0","2","6","7","1.167","6","-0.849"
"virus","毒","basic","0","13","9","5","0.556","9","-1.906"
"viz","证","basic","0","9","7","3","0.429","7","-1.731"
"vokal","元","basic","0","5","4","5","1.25","4","-1.767"
"volupt","色","basic","0","13","6","6","1","6","-2.339"
"vulgar","俗","basic","0","9","9","6","0.667","9","-1.603"
"zo","兽","basic","0","16","11","2","0.182","11","-1.788"
"absurd","谬","basic","0","7","13","6","0.462","13","-0.918"
"adapt","适","basic","0","9","9","5","0.556","9","-1.569"
"ador","拜","basic","0","11","9","4","0.444","9","-1.718"
"adverb","副","basic","0","1","11","6","0.545","11","0.243"
"aflikt","悲","basic","0","4","12","6","0.5","12","-0.559"
"ajl","蒜","basic","0","11","13","3","0.231","13","-1.254"
"akademi","院","basic","0","5","9","7","0.778","9","-1.125"
"akcent","重","basic","0","8","9","6","0.667","9","-1.497"
"akord","和","basic","0","12","8","5","0.625","8","-1.952"
"akt","幕","basic","0","10","13","3","0.231","13","-1.167"
"aktual","现","basic","0","10","8","6","0.75","8","-1.823"
"akuz","诉","basic","0","10","7","4","0.571","7","-1.869"
"alfabet","字","basic","0","11","6","7","1.167","6","-2.235"
"altern","替","basic","0","20","12","6","0.5","12","-1.995"
"alud","暗","basic","0","4","13","4","0.308","13","-0.402"
"amar","苦","basic","0","5","8","4","0.5","8","-1.142"
"amator","好","basic","0","8","6","6","1","6","-1.897"
"ambasador","使","basic","0","5","8","9","1.125","8","-1.329"
"anekdot","闻","basic","0","2","9","7","0.778","9","-0.432"
"aplaŭd","鼓","basic","0","5","13","6","0.462","13","-0.63"
"aplik","用","basic","0","10","5","5","1","5","-2.198"
"arbitr","擅","basic","0","5","16","6","0.375","16","-0.304"
"asert","断","basic","0","3","11","5","0.455","11","-0.423"
"atom","子","basic","0","32","3","4","1.333","3","-3.596"
"bagatel","琐","basic","0","4","11","7","0.636","11","-0.7"
"bal","舞","basic","0","6","14","3","0.214","14","-0.61"
"balbut","结巴","basic","0","5","13","6","0.462","13","-0.63"
"balot","票","basic","0","21","11","5","0.455","11","-2.128"
"bambu","竹","basic","0","9","6","5","0.833","6","-1.952"
"banan","蕉","basic","0","4","15","5","0.333","15","-0.209"
"bandaĝ","包","basic","0","5","5","6","1.2","5","-1.652"
"bind","装","basic","0","12","12","4","0.333","12","-1.465"
"blek","鸣","basic","0","8","8","4","0.5","8","-1.547"
"bred","养","basic","0","15","9","4","0.444","9","-2.006"
"buĝet","预算","basic","0","10","24","5","0.208","24","-0.06"
"bukl","卷","basic","0","6","8","4","0.5","8","-1.296"
"bulk","包","basic","0","7","5","4","0.8","5","-1.819"
"bulten","报","basic","0","4","7","6","0.857","7","-1.167"
"burĝon","芽","basic","0","8","7","6","0.857","7","-1.754"
"ĉel","胞","basic","0","47","9","3","0.333","9","-3.071"
"central","央","basic","0","19","5","7","1.4","5","-2.916"
"cep","葱","basic","0","4","12","3","0.25","12","-0.484"
"cerv","鹿","basic","0","18","11","4","0.364","11","-1.954"
"cign","天鹅","basic","0","4","16","4","0.25","16","-0.084"
"cindr","灰","basic","0","22","6","5","0.833","6","-2.785"
"cirkl","圆","basic","0","23","10","5","0.5","10","-2.328"
"cirkul","环","basic","0","8","8","6","0.75","8","-1.622"
"cirkuler","函","basic","0","2","8","8","1","8","-0.599"
"civil","民","basic","0","30","5","5","1","5","-3.234"
"civit","市","basic","0","15","5","5","1","5","-2.573"
"deĵor","当","basic","0","13","6","5","0.833","6","-2.289"
"depon","存","basic","0","11","6","5","0.833","6","-2.135"
"deput","派","basic","0","8","9","5","0.556","9","-1.464"
"determin","定","basic","0","12","8","8","1","8","-2.065"
"dialog","话","basic","0","0","8","6","0.75","8","0.575"
"digest","消","basic","0","18","10","6","0.6","10","-2.124"
"dimensi","维","basic","0","6","11","7","0.636","11","-1.037"
"dogan","关","basic","0","10","6","5","0.833","6","-2.048"
"dorn","刺","basic","0","18","8","4","0.5","8","-2.294"
"eĥ","回","basic","0","13","6","2","0.333","6","-2.139"
"ekip","备","basic","0","11","8","4","0.5","8","-1.835"
"eklezi","教","basic","0","19","11","6","0.545","11","-2.059"
"ekran","屏","basic","0","16","9","5","0.556","9","-2.1"
"ekspluat","采","basic","0","13","8","8","1","8","-2.139"
"eksport","出","basic","0","7","5","7","1.4","5","-1.999"
"ekspozici","展","basic","0","14","10","9","0.9","10","-1.978"
"ekzakt","精","basic","0","7","14","6","0.429","14","-0.808"
"emerit","退","basic","0","7","9","6","0.667","9","-1.38"
"establ","设","basic","0","11","6","6","1","6","-2.185"
"event","事","basic","0","3","8","5","0.625","8","-0.774"
"fab","豆","basic","0","9","7","3","0.429","7","-1.731"
"fabel","童","basic","0","10","12","5","0.417","12","-1.323"
"federaci","联","basic","0","10","12","8","0.667","12","-1.398"
"fenomen","现","basic","0","22","8","7","0.875","8","-2.598"
"krizantem","菊","basic","0","5","11","9","0.818","11","-0.937"
"kverel","吵","basic","0","3","7","6","0.857","7","-0.943"
"kvitanc","证","basic","0","3","7","7","1","7","-0.986"
"lanc","矛","basic","0","8","5","4","0.8","5","-1.937"
"lanĉ","发","basic","0","9","5","4","0.8","5","-2.043"
"legend","传","basic","0","4","6","6","1","6","-1.309"
"liberal","宽","basic","0","3","10","7","0.7","10","-0.596"
"lingvistik","学","basic","0","8","8","10","1.25","8","-1.772"
"lumb","腰","basic","0","5","13","4","0.308","13","-0.584"
"lupe","镜","basic","0","1","16","4","0.25","16","0.832"
"magi","魔","basic","0","10","20","4","0.2","20","-0.458"
"magnet","磁","basic","0","66","14","6","0.429","14","-2.933"
"magnetofon","磁","basic","0","0","14","10","0.714","14","1.186"
"majuskl","大","basic","0","6","3","7","2.333","3","-2.346"
"mani","狂","basic","0","28","7","4","0.571","7","-2.839"
"manifestaci","示","basic","0","3","5","11","2.2","5","-1.546"
"manuskript","稿","basic","0","2","15","10","0.667","15","0.201"
"masaĝ","摩","basic","0","3","15","5","0.333","15","0.014"
"mask","罩","basic","0","21","13","4","0.308","13","-1.883"
"matĉ","赛","basic","0","2","14","4","0.286","14","0.216"
"medi","境","basic","0","51","14","4","0.286","14","-2.637"
"mejl","里","basic","0","3","7","4","0.571","7","-0.858"
"melodi","调","basic","0","4","10","6","0.6","10","-0.789"
"merkat","市","basic","0","25","5","6","1.2","5","-3.118"
"mesaĝ","信","basic","0","7","9","5","0.556","9","-1.346"
"mev","鸥","basic","0","3","9","3","0.333","9","-0.586"
"miaŭ","咪","basic","0","3","9","4","0.444","9","-0.619"
"minuskl","小","basic","0","2","3","7","2.333","3","-1.499"
"miop","近","basic","0","4","7","4","0.571","7","-1.081"
"mirakl","奇","basic","0","5","8","6","0.75","8","-1.217"
"molekul","分","basic","0","12","4","7","1.75","4","-2.69"
"monopol","垄","basic","0","11","8","7","0.875","8","-1.947"
"moŝt","阁","basic","0","10","9","4","0.444","9","-1.631"
"motiv","由","basic","0","11","5","5","1","5","-2.285"
"mustard","芥","basic","0","4","7","7","1","7","-1.209"
"negativ","否","basic","0","21","7","7","1","7","-2.691"
"neologism","新","basic","0","0","13","9","0.692","13","1.092"
"neŭtral","中","basic","0","11","4","7","1.75","4","-2.61"
"nominativ","主","basic","0","1","5","9","1.8","5","-0.733"
"norm","范","basic","0","32","9","4","0.444","9","-2.73"
"nuanc","微","basic","0","3","13","5","0.385","13","-0.202"
"nukle","核","basic","0","44","10","5","0.5","10","-2.957"
"numeral","数","basic","0","3","13","7","0.538","13","-0.248"
"objektiv","客","basic","0","0","9","8","0.889","9","0.633"
"opozici","对","basic","0","8","5","7","1.4","5","-2.117"
"panic","粟","basic","0","2","12","5","0.417","12","-0.024"
"panik","慌","basic","0","5","12","5","0.417","12","-0.717"
"panoram","景","basic","0","4","12","7","0.583","12","-0.584"
"paradoks","悖","basic","0","3","10","8","0.8","10","-0.626"
"paralel","并","basic","0","18","6","7","1.167","6","-2.695"
"parentez","括","basic","0","3","9","8","0.889","9","-0.753"
"pasiv","被","basic","0","6","10","5","0.5","10","-1.096"
"pelv","盆","basic","0","7","9","4","0.444","9","-1.313"
"pension","宿","basic","0","3","11","7","0.636","11","-0.477"
"piĵam","睡","basic","0","1","13","5","0.385","13","0.491"
"piknik","野餐","basic","0","2","27","6","0.222","27","1.535"
"pilol","丸","basic","0","3","3","5","1.667","3","-1.586"
"pled","辩","basic","0","6","16","4","0.25","16","-0.421"
"podi","台","basic","0","7","5","4","0.8","5","-1.819"
"poent","点","basic","0","4","9","5","0.556","9","-0.876"
"pokal","杯","basic","0","6","8","5","0.625","8","-1.333"
"pozitiv","正","basic","0","25","5","7","1.4","5","-3.178"
"prefiks","缀","basic","0","3","11","7","0.636","11","-0.477"
"prezident","统","basic","0","6","9","9","1","9","-1.346"
"primitiv","原","basic","0","3","10","8","0.8","10","-0.626"
"propagand","传","basic","0","5","6","9","1.5","6","-1.642"
"proporci","比","basic","0","14","4","8","2","4","-2.908"
"protestant","抗","basic","0","0","7","10","1.429","7","0.271"
"protokol","录","basic","0","7","8","8","1","8","-1.579"
"provizor","暂","basic","0","7","12","8","0.667","12","-1.08"
"purpur","紫","basic","0","6","12","6","0.5","12","-0.896"
"raci","理","basic","0","11","11","4","0.364","11","-1.494"
"raked","拍","basic","0","1","8","5","0.625","8","-0.081"
"redakci","部","basic","0","3","10","7","0.7","10","-0.596"
"redaktor","编","basic","0","5","12","8","0.667","12","-0.792"
"referenc","参","basic","0","6","8","8","1","8","-1.446"
"refut","驳","basic","0","4","7","5","0.714","7","-1.124"
"respektiv","各","basic","0","2","6","9","1.5","6","-0.949"
"resum","概","basic","0","1","13","5","0.385","13","0.491"
"revoluci","革","basic","0","11","9","8","0.889","9","-1.852"
"rezoluci","决","basic","0","3","6","8","1.333","6","-1.186"
"rub","废","basic","0","22","8","3","0.375","8","-2.448"
"rubrik","栏","basic","0","1","9","6","0.667","9","0.007"
"ŝak","棋","basic","0","19","12","3","0.25","12","-1.871"
"ŝalt","开","basic","0","25","4","4","1","4","-3.158"
"ŝampu","沐","basic","0","2","7","5","0.714","7","-0.613"
"ŝarg","装","basic","0","43","12","4","0.333","12","-2.684"
"ŝark","鲨","basic","0","5","15","4","0.267","15","-0.372"
"satan","魔","basic","0","7","20","5","0.25","20","-0.154"
"satelit","星","basic","0","10","9","7","0.778","9","-1.731"
"sfer","球","basic","0","29","11","4","0.364","11","-2.41"
"sigel","印","basic","0","15","5","5","1","5","-2.573"
"silab","节","basic","0","23","5","5","1","5","-2.978"
"simbol","符","basic","0","14","11","6","0.545","11","-1.772"
"situ","位","basic","0","2","7","4","0.571","7","-0.57"
"skandal","丑","basic","0","5","4","7","1.75","4","-1.917"
"skeĉ","剧","basic","0","1","10","4","0.4","10","0.187"
"skelet","骨","basic","0","7","10","6","0.6","10","-1.259"
"skiz","草","basic","0","6","9","4","0.444","9","-1.179"
"ŝok","震","basic","0","9","15","3","0.2","15","-0.863"
"ŝose","路","basic","0","6","13","4","0.308","13","-0.738"
"specif","特","basic","0","9","10","6","0.6","10","-1.483"
"spit","逆","basic","0","7","9","4","0.444","9","-1.313"
"stab","参","basic","0","7","8","4","0.5","8","-1.429"
"stabil","稳","basic","0","15","14","6","0.429","14","-1.501"
"statistik","计","basic","0","9","4","9","2.25","4","-2.578"
"stimul","激","basic","0","9","16","6","0.375","16","-0.815"
"stok","储","basic","0","5","12","4","0.333","12","-0.692"
"ŝtorm","暴","basic","0","11","15","5","0.333","15","-1.085"
"stov","炉","basic","0","3","8","4","0.5","8","-0.736"
"strof","节","basic","0","3","5","5","1","5","-1.186"
"subjektiv","主","basic","0","0","5","9","1.8","5","-0.04"
"sufiks","缀","basic","0","5","11","6","0.545","11","-0.855"
"sugest","示","basic","0","3","5","6","1.2","5","-1.246"
"superstiĉ","迷","basic","0","2","9","9","1","9","-0.499"
"manipul","操","basic","0","6","16","7","0.438","16","-0.477"
"mas","团","basic","0","36","6","3","0.5","6","-3.161"
"mat","席","basic","0","11","10","3","0.3","10","-1.575"
"matematik","数学","basic","0","5","21","9","0.429","21","0.18"
"materi","质","basic","0","22","8","6","0.75","8","-2.56"
"medicin","医","basic","0","28","7","7","1","7","-2.967"
"melon","瓜","basic","0","5","5","5","1","5","-1.592"
"mens","心","basic","0","16","4","4","1","4","-2.733"
"menu","单","basic","0","6","8","4","0.5","8","-1.296"
"miel","蜜","basic","0","9","14","4","0.286","14","-0.988"
"mineral","矿","basic","0","9","8","7","0.875","8","-1.765"
"minimum","最小","basic","0","8","15","7","0.467","15","-0.837"
"ministeri","部","basic","0","15","10","9","0.9","10","-2.043"
"modif","改","basic","0","7","7","5","0.714","7","-1.594"
"monstr","怪","basic","0","5","8","6","0.75","8","-1.217"
"monument","碑","basic","0","4","13","8","0.615","13","-0.494"
"moral","德","basic","0","22","15","5","0.333","15","-1.735"
"multiplik","乘","basic","0","8","10","9","0.9","10","-1.467"
"musk","苔","basic","0","5","8","4","0.5","8","-1.142"
"neglekt","忽","basic","0","3","8","7","0.875","8","-0.849"
"nuks","果","basic","0","14","8","4","0.5","8","-2.058"
"oblikv","斜","basic","0","8","11","6","0.545","11","-1.261"
"obstakl","碍","basic","0","3","13","7","0.538","13","-0.248"
"obstin","顽","basic","0","7","10","6","0.6","10","-1.259"
"ocean","洋","basic","0","14","9","5","0.556","9","-1.975"
"ofend","侮","basic","0","11","9","5","0.556","9","-1.752"
"orkestr","乐","basic","0","8","5","7","1.4","5","-2.117"
"ortografi","拼","basic","0","0","9","9","1","9","0.6"
"palp","摸","basic","0","11","13","4","0.308","13","-1.277"
"palpebr","目皮","basic","0","7","10","7","0.7","10","-1.289"
"palt","大衣","basic","0","1","9","4","0.444","9","0.074"
"pane","瘫","basic","0","5","15","4","0.267","15","-0.372"
"pantofl","拖鞋","basic","0","3","23","7","0.304","23","0.823"
"pap","教皇","basic","0","9","20","3","0.15","20","-0.348"
"papag","鹦","basic","0","8","16","5","0.312","16","-0.691"
"papili","蝶","basic","0","17","15","6","0.4","15","-1.51"
"paradiz","天","basic","0","7","4","7","1.75","4","-2.204"
"parlament","议","basic","0","16","5","9","1.8","5","-2.873"
"pasaĝer","客","basic","0","9","9","7","0.778","9","-1.636"
"paser","雀","basic","0","5","11","5","0.455","11","-0.828"
"pensi","养老","basic","0","8","15","5","0.333","15","-0.797"
"pere","亡","basic","0","10","3","4","1.333","3","-2.498"
"period","期","basic","0","27","12","6","0.5","12","-2.282"
"perl","珠","basic","0","20","10","4","0.4","10","-2.165"
"persik","桃","basic","0","5","10","6","0.6","10","-0.972"
"persist","坚","basic","0","8","7","7","1","7","-1.797"
"pi","敬","basic","0","17","12","2","0.167","12","-1.74"
"pian","琴","basic","0","12","12","4","0.333","12","-1.465"
